CR,NAME,SIZE,TYPE,ALIGNMENT,"LVL1","LVL2","LVL3","LVL4","LVL5","LVL6","LVL7","LVL8","LVL9","LVL10",ROLLS, variables,4,60
1/8,Bandit,Medium,Humanoid,non-lawful,1d4,1d4+2,na,na,na,na
1/8,Flying Snake,Tiny,Beast,unaligned,1d4,1d4+2,na,na,na,na
1/8,Giant Rat,Small,Beast,unaligned,1d4,1d4+2,na,na,na,na
1/8,Giant Weasel,Medium,Beast,unaligned,1d4,1d4+2,na,na,na,na
1/8,Poisonous Snake,Tiny,Beast,unaligned,1d4,1d4+2,na,na,na,na
1/8,Stirge,Tiny,Beast,unaligned,1d4,1d4+2,na,na,na,na
1/8,Tribal Warrior,Medium,Humanoid,any,1d4,1d4+2,na,na,na,na
1/8,Twig Blight,Small,Plant,neutral evil,1d4,1d4+2,na,na,na,na
1/4,Acolyte,Medium,Humanoid,any,1d4+2,2d4,3d4,na,na,na
1/4,Blink Dog,Medium,Fey,lawful good,1d4+2,2d4,3d4,na,na,na
1/4,Boar,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Constrictor Snake,Large,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Elk,Large,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Badger,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Bat,Large,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Centipede,Small,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Frog,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Lizard,Large,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Owl,Large,Beast,neutral,1d4+2,2d4,3d4,na,na,na
1/4,Giant Poisonous Snake,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Giant Wolf Spider,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Goblingoblinoid,Small,Humanoid,neutral evil,1d4+2,2d4,3d4,na,na,na
1/4,Kenkukenku,Medium,Humanoid,chaotic neutral,1d4+2,2d4,3d4,na,na,na
1/4,Mud Mephit,Small,Elemental,neutral evil,1d4+2,2d4,3d4,na,na,na
1/4,Needle Blight,Medium,Plant,neutral evil,1d4+2,2d4,3d4,na,na,na
1/4,Panther,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Pixie,Tiny,Fey,neutral good,1d4+2,2d4,3d4,na,na,na
1/4,Sprite,Tiny,Fey,neutral good,1d4+2,2d4,3d4,na,na,na
1/4,Swarm of Batsswarm,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Swarm of Ratsswarm,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Swarm of Ravensswarm,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Wolf,Medium,Beast,unaligned,1d4+2,2d4,3d4,na,na,na
1/4,Zombie,Medium,Undead,neutral evil,1d4+2,2d4,3d4,na,na,na
1/2,Ape,Medium,Beast,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Black Bear,Medium,Beast,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Cockatrice,Small,Monstrosity,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Giant Goat,Large,Beast,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Giant Wasp,Medium,Beast,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Gnollgnoll,Medium,Humanoid,chaotic evil,1d4,1d4,2d4,3d4,3d4,na
1/2,Lizardfolklizardfolk,Medium,Humanoid,neutral,1d4,1d4,2d4,3d4,3d4,na
1/2,Orcorc,Medium,Humanoid,chaotic evil,1d4,1d4,2d4,3d4,3d4,na
1/2,Satyr,Medium,Fey,chaotic neutral,1d4,1d4,2d4,3d4,3d4,na
1/2,Scout,Medium,Humanoid,any,1d4,1d4,2d4,3d4,3d4,na
1/2,Swarm of Insectsswarm,Medium,Beast,unaligned,1d4,1d4,2d4,3d4,3d4,na
1/2,Thug,Medium,Humanoid,non-good,1d4,1d4,2d4,3d4,3d4,na
1/2,Vine Blight,Medium,Plant,neutral evil,1d4,1d4,2d4,3d4,3d4,na
1/2,Worg,Large,Monstrosity,neutral evil,1d4,1d4,2d4,3d4,3d4,na
1,Brown Bear,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Bugbeargoblinoid,Medium,Humanoid,chaotic evil,1,1d2,1d4,2d4,3d4,3d4
1,Dire Wolf,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Dryad,Medium,Fey,neutral,1,1d2,1d4,2d4,3d4,3d4
1,Faerie Dragon (orange),Tiny,Dragon,chaotic good,1,1d2,1d4,2d4,3d4,3d4
1,Faerie Dragon (red),Tiny,Dragon,chaotic good,1,1d2,1d4,2d4,3d4,3d4
1,Faerie Dragon (yellow),Tiny,Dragon,chaotic good,1,1d2,1d4,2d4,3d4,3d4
1,Fire Snake,Medium,Elemental,neutral evil,1,1d2,1d4,2d4,3d4,3d4
1,Ghoul,Medium,Undead,chaotic evil,1,1d2,1d4,2d4,3d4,3d4
1,Giant Hyena,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Giant Spider,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Giant Toad,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Goblin Bossgoblinoid,Small,Humanoid,neutral evil,1,1d2,1d4,2d4,3d4,3d4
1,Half-Ogre,Large,Giant,chaotic evil,1,1d2,1d4,2d4,3d4,3d4
1,Harpy,Medium,Monstrosity,chaotic evil,1,1d2,1d4,2d4,3d4,3d4
1,Spy,Medium,Humanoid,any,1,1d2,1d4,2d4,3d4,3d4
1,Tiger,Large,Beast,unaligned,1,1d2,1d4,2d4,3d4,3d4
1,Yuan-ti Purebloodyuan-ti,Medium,Humanoid,neutral evil,1,1d2,1d4,2d4,3d4,3d4
2,Ankheg,Large,Monstrosity,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Awakened Tree,Huge,Plant,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Bandit Captain,Medium,Humanoid,non-lawful,1,1,1d2,1d2,1d4+2,2d4
2,Berserker,Medium,Humanoid,any chaotic,1,1,1d2,1d2,1d4+2,2d4
2,Druid,Medium,Humanoid,any,1,1,1d2,1d2,1d4+2,2d4
2,Ettercap,Medium,Monstrosity,neutral evil,1,1,1d2,1d2,1d4+2,2d4
2,Faerie Dragon (blue),Tiny,Dragon,chaotic good,1,1,1d2,1d2,1d4+2,2d4
2,Faerie Dragon (green),Tiny,Dragon,chaotic good,1,1,1d2,1d2,1d4+2,2d4
2,Faerie Dragon (indigo),Tiny,Dragon,chaotic good,1,1,1d2,1d2,1d4+2,2d4
2,Faerie Dragon (violet),Tiny,Dragon,chaotic good,1,1,1d2,1d2,1d4+2,2d4
2,Ghast,Medium,Undead,chaotic evil,1,1,1d2,1d2,1d4+2,2d4
2,Giant Boar,Large,Beast,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Giant Constrictor Snake,Huge,Beast,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Giant Elk,Huge,Beast,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Gnoll Pack Lordgnoll,Medium,Humanoid,chaotic evil,1,1,1d2,1d2,1d4+2,2d4
2,Green Dragon Wyrmling,Medium,Dragon,lawful evil,1,1,1d2,1d2,1d4+2,2d4
2,Lizardfolk Shamanlizardfolk,Medium,Humanoid,neutral,1,1,1d2,1d2,1d4+2,2d4
2,Ogre,Large,Giant,chaotic evil,1,1,1d2,1d2,1d4+2,2d4
2,Ogre Zombie,Large,Undead,neutral evil,1,1,1d2,1d2,1d4+2,2d4
2,Orc Eye of Gruumshorc,Medium,Humanoid,chaotic evil,1,1,1d2,1d2,1d4+2,2d4
2,Orogorc,Medium,Humanoid,chaotic evil,1,1,1d2,1d2,1d4+2,2d4
2,Saber-Toothed Tiger,Large,Beast,unaligned,1,1,1d2,1d2,1d4+2,2d4
2,Swarm of Poisonous Snakesswarm,Medium,Beast,unaligned,1,1,1d2,1d2,1d4+2,2d4
3,Basilisk,Medium,Monstrosity,unaligned,0,0,1d2,1d4,1d4,2d4
3,Bugbear Chiefgoblinoid,Medium,Humanoid,chaotic evil,0,0,1d2,1d4,1d4,2d4
3,Displacer Beast,Large,Monstrosity,lawful evil,0,0,1d2,1d4,1d4,2d4
3,Green Hag,Medium,Fey,neutral evil,0,0,1d2,1d4,1d4,2d4
3,Owlbear,Large,Monstrosity,unaligned,0,0,1d2,1d4,1d4,2d4
3,Phase Spider,Large,Monstrosity,unaligned,0,0,1d2,1d4,1d4,2d4
3,Water Weird,Large,Elemental,neutral,0,0,1d2,1d4,1d4,2d4
3,Werewolfhumanshapechanger,Medium,Humanoid,chaotic evil,0,0,1d2,1d4,1d4,2d4
3,Wight,Medium,Undead,neutral evil,0,0,1d2,1d4,1d4,2d4
3,Winter Wolf,Large,Monstrosity,neutral evil,0,0,1d2,1d4,1d4,2d4
3,Yuan-ti Malisonshapechangeryuan-ti,Medium,Monstrosity,neutral evil,0,0,1d2,1d4,1d4,2d4
4,Banshee,Medium,Undead,chaotic evil,0,0,0,1,1d4,1d4
4,Gnoll Fang of Yeenoghugnoll,Medium,Fiend,chaotic evil,0,0,0,1,1d4,1d4
4,Lizard King/Queenlizardfolk,Medium,Humanoid,chaotic evil,0,0,0,1,1d4,1d4
4,Orc War Chieforc,Medium,Humanoid,chaotic evil,0,0,0,1,1d4,1d4
4,Wereboarhumanshapechanger,Medium,Humanoid,neutral evil,0,0,0,1,1d4,1d4
4,Weretigerhumanshapechanger,Medium,Humanoid,neutral,0,0,0,1,1d4,1d4
5,Air Elemental,Large,Elemental,neutral,0,0,0,1,1d4,1d2
5,Earth Elemental,Large,Elemental,neutral,0,0,0,1,1d4,1d2
5,Green Hag (coven),Medium,Fey,neutral evil,0,0,0,1,1d4,1d2
5,Revenant,Medium,Undead,neutral,0,0,0,1,1d4,1d2
5,Salamander,Large,Elemental,neutral evil,0,0,0,1,1d4,1d2
5,Shambling Mound,Large,Plant,unaligned,0,0,0,1,1d4,1d2
5,Troll,Large,Giant,chaotic evil,0,0,0,1,1d4,1d2
5,Unicorn,Large,Celestial,lawful good,0,0,0,1,1d4,1d2
5,Water Elemental,Large,Elemental,neutral,0,0,0,1,1d4,1d2
5,Werebearhumanshapechanger,Medium,Humanoid,neutral good,0,0,0,1,1d4,1d2
6,Invisible Stalker,Medium,Elemental,neutral,0,0,0,0,1d2,1d2
7,Giant Ape,Huge,Beast,unaligned,0,0,0,0,0,1d2
7,Yuan-ti Abominationshapechangeryuan-ti,Large,Monstrosity,neutral evil,0,0,0,0,0,1d2
8,Assassin,Medium,Humanoid,non-good,0,0,0,0,0,1d2
8,Hydra,Huge,Monstrosity,unaligned,0,0,0,0,0,1d2
8,Young Green Dragon,Large,Dragon,lawful evil,0,0,0,0,0,1d2
